model,layer,pos,var,mode,rank,train_acc,base_acc,base_yes,all,disagree,same_dim_swap,heldout_lex,invented_alg,other_labels(y_heur),all_alpha0.25,all_alpha0.5,all_alpha0.75,other_labels(y_alg)
qwen3-4b-base,8,u1,heur,learned,64,0.775,0.6883333333333334,0.23166666666666666,0.641,0.538,0.539,0.659,0.499,,0.522,0.548,0.59,0.568
qwen3-4b-base,8,u1,alg,learned,128,0.621875,0.6883333333333334,0.23166666666666666,0.611,0.457,0.51,0.619,0.5,0.682,0.505,0.531,0.573,
qwen3-4b-base,8,u1,alg,random,128,,0.6883333333333334,0.23166666666666666,0.501,0.493,0.507,0.505,0.504,0.505,0.501,0.502,0.501,
qwen3-4b-base,8,u1,heur,learned,128,0.7625,0.6883333333333334,0.23166666666666666,0.654,0.632,0.598,0.654,0.502,,0.527,0.559,0.607,0.561
qwen3-4b-base,8,u1,alg,full,2560,,0.6883333333333334,0.23166666666666666,0.647,0.317,0.464,0.649,0.506,0.782,0.507,0.567,0.639,
qwen3-4b-base,8,u1,heur,full,2560,,0.6883333333333334,0.23166666666666666,0.782,0.683,0.68,0.78,0.506,,0.517,0.637,0.774,0.647
qwen3-4b-base,8,u2,alg,full,2560,,0.6883333333333334,0.23166666666666666,0.545,0.31,0.263,0.599,0.505,0.657,0.498,0.545,0.539,
qwen3-4b-base,8,u2,heur,full,2560,,0.6883333333333334,0.23166666666666666,0.657,0.69,0.516,0.681,0.505,,0.524,0.623,0.65,0.545
qwen3-4b-base,12,last,alg,full,2560,,0.6883333333333334,0.23166666666666666,0.507,0.486,0.504,0.524,0.506,0.518,0.495,0.51,0.5,
qwen3-4b-base,12,last,heur,full,2560,,0.6883333333333334,0.23166666666666666,0.518,0.514,0.518,0.53,0.506,,0.501,0.514,0.507,0.507
qwen3-4b-base,12,u1,alg,full,2560,,0.6883333333333334,0.23166666666666666,0.567,0.449,0.504,0.585,0.508,0.632,0.509,0.533,0.559,
qwen3-4b-base,12,u1,heur,full,2560,,0.6883333333333334,0.23166666666666666,0.632,0.551,0.605,0.646,0.508,,0.519,0.573,0.62,0.567
