model,layer,pos,var,mode,rank,seed,all,disagree,heldout,invented
qwen3-4b-base,16,last,alg,learned,16,0,0.49583333333333335,0.387042818911686,0.5038224874137609,0.5025
qwen3-4b-base,4,u1,alg,probe,16,0,0.525,0.4800401427297056,0.5399185779103736,0.4975
qwen3-4b-base,20,u2,heur,full,2560,0,0.5449538693278102,0.5836306868867083,0.5390266299357208,0.4975
qwen3-4b-base,28,u2,heur,full,2560,0,0.5128663779576978,0.522078501338091,0.5259235713781168,0.5025
qwen3-4b-base,8,u1,alg,probe,16,0,0.5364583333333334,0.5063559322033898,0.5366244017651811,0.500625
qwen3-4b-base,8,u1,alg,learned,16,0,0.5645833333333333,0.5059099018733274,0.5709646342221394,0.505625
qwen3-4b-base,8,u1,alg,random,64,3,0.5031249999999999,0.5063559322033898,0.5018801665734353,0.496875
qwen3-4b-base,24,u1,heur,learned,64,0,0.5047385928575912,0.4978813559322034,0.5067634385816204,0.503125
qwen3-4b-base,8,u1,alg,random,1,0,0.49895833333333334,0.5042372881355932,0.5020821679408292,0.494375
qwen3-4b-base,4,last,heur,full,2560,0,0.507249105629825,0.5110392506690455,0.5088295542840998,0.5
qwen3-4b-base,24,last,alg,learned,64,0,0.5010416666666667,0.36663693131132913,0.5135651687488346,0.5125
qwen3-4b-base,24,last,alg,random,16,0,0.5,0.5063559322033898,0.5018801665734353,0.49624999999999997
qwen3-4b-base,24,u1,alg,random,16,0,0.503125,0.4953166815343443,0.5074585120268507,0.50625
qwen3-4b-base,16,last,alg,random,16,0,0.5,0.5042372881355932,0.5072565106594568,0.495625
qwen3-4b-base,8,last,alg,full,2560,0,0.5010416666666666,0.4800401427297056,0.5072565106594568,0.50125
qwen3-4b-base,4,u1,heur,learned,1,0,0.514200087867947,0.5089206066012489,0.515310447128629,0.50125
qwen3-4b-base,16,u1,alg,learned,16,0,0.496875,0.455842997323818,0.5145130213189135,0.503125
qwen3-4b-base,8,u1,heur,probe,3,0,0.5047385928575912,0.4978813559322034,0.5131030585576041,0.503125
qwen3-4b-base,16,last,alg,learned,64,0,0.49374999999999997,0.4235057983942908,0.52284169308223,0.503125
qwen3-4b-base,4,u1,heur,probe,3,0,0.5075472290215276,0.5241971454058876,0.5173765628311083,0.498125
qwen3-4b-base,8,u1,alg,random,128,0,0.5010416666666666,0.4931980374665477,0.5047703399838399,0.504375
qwen3-4b-base,8,u1,alg,learned,64,0,0.596875,0.48338537020517397,0.5941481757722668,0.495625
qwen3-4b-base,20,last,alg,full,2560,0,0.5052083333333334,0.42952720785013376,0.515321026788489,0.493125
qwen3-4b-base,4,u1,alg,full,2560,0,0.66875,0.2227921498661909,0.6694169929765679,0.49687499999999996
qwen3-4b-base,24,u1,heur,learned,16,0,0.5017887403502165,0.5089206066012489,0.504697322879141,0.505
qwen3-4b-base,24,last,alg,learned,16,0,0.5135416666666667,0.30419268510258696,0.5415190502828019,0.51125
qwen3-4b-base,8,u1,alg,full,2560,0,0.646875,0.31701605709188224,0.6485176207346635,0.505625
qwen3-4b-base,8,u1,heur,learned,128,0,0.6544436076068537,0.6320249776984834,0.6544112453203362,0.501875
qwen3-4b-base,24,last,heur,full,2560,0,0.643491495637984,0.813336306868867,0.6714169668715123,0.506875
qwen3-4b-base,28,u2,alg,full,2560,0,0.5020833333333333,0.47792149866190897,0.5099446827024675,0.5025
qwen3-4b-base,8,u1,alg,learned,1,0,0.5010416666666666,0.5063559322033898,0.5072565106594568,0.500625
qwen3-4b-base,24,last,alg,random,64,0,0.49895833333333334,0.4910793933987511,0.5047703399838399,0.499375
qwen3-4b-base,20,u2,alg,full,2560,0,0.5010416666666667,0.4163693131132917,0.5062465038224874,0.4975
qwen3-4b-base,24,u2,alg,full,2560,0,0.5020833333333333,0.5063559322033898,0.4989899931630306,0.501875
qwen3-4b-base,12,u2,alg,full,2560,0,0.525,0.2796610169491525,0.5625582696252098,0.511875
qwen3-4b-base,24,u1,alg,learned,16,0,0.5020833333333333,0.4931980374665477,0.504568338616446,0.50375
qwen3-4b-base,16,u2,alg,full,2560,0,0.5145833333333333,0.2775423728813559,0.5462272359997513,0.49187499999999995
