model,task,version,condition,n,acc,ci_lo,ci_hi,chance,acc_length_matched,n_length_matched,acc_gen,acc_gen_dim,gen_parsed,acc_gen_dim|parsed,acc_inorder,acc_swapped,swap_penalty,swapped_ci_lo,swapped_ci_hi
gemma2-9b,T1,v1,INV-LEX-TWIN,240,0.9125,0.8571428571428571,0.9608750634410421,0.25,0.9567307692307693,208,0.30416666666666664,0.6833333333333333,0.9041666666666667,0.7557603686635944,0.9242424242424242,0.8981481481481481,0.02609427609427606,0.8089660651458404,0.97
olmo3-7b,T1,v1,ARITH-FAM,240,0.7833333333333333,0.6419753086419753,0.8975514386082302,0.25,0.8130841121495327,214,0.32916666666666666,0.5708333333333333,0.9708333333333333,0.5879828326180258,0.7833333333333333,,,,
olmo3-7b,T1,v1,ARITH-INV,240,0.7375,0.5675350048844024,0.8733685329783607,0.25,0.8491620111731844,179,0.2833333333333333,0.6041666666666666,0.9708333333333333,0.6223175965665236,0.7375,,,,
olmo3-7b,T1,v1,ARITH-INV-NODEF,240,0.6916666666666667,0.6068658372991791,0.7748944805194805,0.25,0.7471264367816092,174,0.075,0.13333333333333333,0.7166666666666667,0.18604651162790697,0.6916666666666667,,,,
olmo3-7b,T1,v1,ARITH-INV-NODEF-TWIN,240,0.7458333333333333,0.6309478021978022,0.8513527081298166,0.25,0.8238341968911918,193,0.31666666666666665,0.5041666666666667,0.95,0.5307017543859649,0.7458333333333333,,,,
olmo3-7b,T1,v1,ARITH-INV-TWIN,240,0.7875,0.6501450804537061,0.8986810893720237,0.25,0.8756756756756757,185,0.325,0.575,0.9458333333333333,0.6079295154185022,0.7875,,,,
olmo3-7b,T1,v1,FAM-NAMED,240,0.9875,0.9645598987626546,1.0,0.25,0.9906542056074766,214,0.43333333333333335,0.7625,0.9958333333333333,0.7656903765690377,0.9793103448275862,1.0,-0.020689655172413834,1.0,1.0
olmo3-7b,T1,v1,FAM-UNNAMED,240,0.8333333333333334,0.7499769372693726,0.9107163816230718,0.25,0.8786407766990292,206,0.16666666666666666,0.3375,0.6916666666666667,0.4879518072289157,0.8467741935483871,0.8189655172413793,0.027808676307007785,0.6922932330827067,0.9368444760550024
olmo3-7b,T1,v1,INV-BASE,240,0.8875,0.7624428492073666,0.995475113122172,0.25,0.9796954314720813,197,0.5208333333333334,0.6583333333333333,0.9583333333333334,0.6869565217391305,0.8976377952755905,0.8761061946902655,0.021531600585324995,0.6691499642090194,1.0
olmo3-7b,T1,v1,INV-BASE-TWIN,240,0.9041666666666667,0.8279896551724137,0.974583723703262,0.25,0.9389671361502347,213,0.5375,0.625,0.8,0.78125,0.9212598425196851,0.8849557522123894,0.036304090307295644,0.7636363636363637,0.99
