position,layer,n,tag,random/task/r2_mean,random/task/exact_acc,random/task/mae,random/task/nearest_acc,random/task/r2_axes,random/control/r2_mean,random/control/exact_acc,random/control/mae,random/control/nearest_acc,random/control/r2_axes,random/selectivity_nearest,random/selectivity_r2,cross_lexeme/task/r2_mean,cross_lexeme/task/exact_acc,cross_lexeme/task/mae,cross_lexeme/task/nearest_acc,cross_lexeme/task/r2_axes,cross_lexeme/control/r2_mean,cross_lexeme/control/exact_acc,cross_lexeme/control/mae,cross_lexeme/control/nearest_acc,cross_lexeme/control/r2_axes,cross_lexeme/selectivity_nearest,cross_lexeme/selectivity_r2,lattice_holdout/task/r2_mean,lattice_holdout/task/exact_acc,lattice_holdout/task/mae,lattice_holdout/task/nearest_acc,lattice_holdout/task/r2_axes,lattice_holdout/control/r2_mean,lattice_holdout/control/exact_acc,lattice_holdout/control/mae,lattice_holdout/control/nearest_acc,lattice_holdout/control/r2_axes,lattice_holdout/selectivity_nearest,lattice_holdout/selectivity_r2
value,20,3867,main_s0,-1.306989668260089,0.007751937984496124,1.6108403745188373,0.007751937984496124,"[-1.3120864195730753, -1.1133664397684009, -1.495516145438791]",-1.3947710462419265,0.006459948320413436,1.7597029938689024,0.0103359173126615,"[-1.312326893865012, -1.283360467025314, -1.5886257778354538]",-0.0025839793281653752,0.0877813779818375,-1.4507359910856483,0.004396172743728989,1.6428371486070599,0.005430566330488751,"[-1.4345552002998536, -1.3366133923567762, -1.5810393806003158]",-1.4238410171022025,0.0031031807602792862,1.7926870473860845,0.005430566330488751,"[-1.5074529575287219, -1.3573291052252765, -1.4067409885526088]",0.0,-0.02689497398344587,-1.2066273999623789,0.006176470588235294,1.6590133547728114,0.007941176470588234,"[-1.1886294380481615, -1.0107405592715657, -1.4205122025674095]",-1.2822957529508185,0.005294117647058823,1.7474339595462616,0.007941176470588234,"[-1.235685978780933, -1.3081430665777543, -1.3030582134937685]",0.0,0.07566835298843966
value,22,3867,main_s0,-1.2985700309110333,0.006459948320413436,1.6050791380081477,0.006459948320413436,"[-1.3300991148535215, -1.0775863943220663, -1.4880245835575123]",-1.1867560305612528,0.006459948320413436,1.7068114299479549,0.0103359173126615,"[-1.019002583226286, -1.2455456729935421, -1.29571983546393]",-0.003875968992248063,-0.1118140003497805,-1.3480048262044633,0.004654771140418929,1.6258594616849396,0.005689164727178691,"[-1.461615678349451, -1.2062480014776185, -1.3761507987863197]",-1.263046100759752,0.004654771140418929,1.7435128184584692,0.0067235583139384535,"[-1.2387668124287727, -1.4007620539337151, -1.149609435916768]",-0.001034393586759762,-0.08495872544471128,-1.1401842083611056,0.006470588235294118,1.6455450998257626,0.007058823529411765,"[-1.2009022833579452, -0.946339447709541, -1.2733108940158306]",-1.2036307213112805,0.0035294117647058825,1.725289537055491,0.005,"[-1.1633936077309461, -1.4792408586352361, -0.9682576975676591]",0.002058823529411765,0.0634465129501749
value,24,3867,main_s0,-0.9866942482831108,0.0103359173126615,1.5132151164281327,0.0103359173126615,"[-1.0136570743419204, -0.8122728853150141, -1.134152785192398]",-0.9688791042136492,0.007751937984496124,1.6289553863752848,0.0103359173126615,"[-1.0078778420855392, -0.7815690536028821, -1.1171904169525266]",0.0,-0.017815144069461608,-1.1146657677808187,0.009309542280837859,1.558088080248985,0.01060253426428756,"[-1.1290650592997813, -1.020382547011649, -1.194549697031026]",-1.1308044308370884,0.004654771140418929,1.7013562078453723,0.0062063615205585725,"[-1.1886061869478, -1.09874860538567, -1.1050585001777948]",0.004396172743728988,0.016138663056269653,-0.972864096360598,0.00411764705882353,1.5852897446704846,0.0058823529411764705,"[-0.9268048624866261, -0.8541605499852987, -1.1376268766098692]",-0.9511133683171703,0.005588235294117647,1.6460519335378765,0.007352941176470588,"[-0.9827217884780426, -0.9625923959111133, -0.9080259205623549]",-0.0014705882352941176,-0.021750728043427703
value,26,3867,main_s0,-1.0601023931485454,0.00904392764857881,1.521415974216457,0.00904392764857881,"[-1.003970660266591, -0.9436141473703927, -1.2327223718086522]",-1.0282028059250818,0.00516795865633075,1.6549347785071282,0.0103359173126615,"[-1.110626195887459, -0.8904407528898417, -1.0835414689979448]",-0.0012919896640826885,-0.03189958722346353,-1.1342572161089302,0.009568140677527799,1.5598193834248457,0.01008533747090768,"[-1.1145532025875453, -1.154505039985501, -1.1337134057537441]",-1.2217333941211386,0.0067235583139384535,1.7277135599979314,0.009050943884147919,"[-1.1947606933289414, -1.2373546480988136, -1.2330848409356605]",0.001034393586759762,0.08747617801220842,-0.9962581370794604,0.007647058823529412,1.5977371792214028,0.007647058823529412,"[-0.944793949075641, -0.9745478798215077, -1.069432582341233]",-1.0508164428576232,0.004705882352941176,1.6797952233587263,0.0058823529411764705,"[-1.072848018886162, -1.034481462694571, -1.0451198469921366]",0.0017647058823529417,0.054558305778162786
value,28,3867,main_s0,-1.0667975926259852,0.012919896640826873,1.532954091178919,0.014211886304909561,"[-1.0178636014761682, -1.00367784224275, -1.1788513341590372]",-1.1302403865048642,0.006459948320413436,1.6802043214826994,0.0103359173126615,"[-1.0787682305005033, -1.1030349002416715, -1.208918028772418]",0.003875968992248062,0.06344279387887908,-1.2572165789471241,0.008792345487457979,1.581414749481233,0.009050943884147919,"[-1.16893961453433, -1.301444070712876, -1.3012660515941663]",-1.3871885232523677,0.0036203775536591673,1.7682753915262648,0.005430566330488751,"[-1.2439162999745403, -1.3258926263179456, -1.5917566434646173]",0.0036203775536591673,0.12997194430524361,-1.14439828036479,0.007352941176470588,1.6381986119886678,0.007647058823529412,"[-1.2795904895330241, -1.0098684123201833, -1.1437359392411626]",-1.4128439236175871,0.0058823529411764705,1.7425974330497795,0.007647058823529412,"[-1.115070785352251, -1.230359709965839, -1.8931012755346712]",0.0,0.2684456432527971
value,30,3867,main_s0,-1.2758153225415536,0.007751937984496124,1.581500850341938,0.007751937984496124,"[-1.3580234455862934, -1.1890696702212105, -1.280352851817157]",-1.1678006868418105,0.002583979328165375,1.7022926125548696,0.002583979328165375,"[-1.0658926284195878, -1.1801088058073224, -1.2574006262985211]",0.005167958656330749,-0.10801463569974312,-1.3157671211951947,0.007757951900698216,1.6009589246875684,0.008275148694078097,"[-1.3688301589543284, -1.351146085527248, -1.2273251191040075]",-1.4001077778434314,0.00517196793379881,1.776094118966047,0.0074993535040082755,"[-1.4056579590424194, -1.381597025852809, -1.4130683486350661]",0.0007757951900698211,0.08434065664823676,-1.2591156538967188,0.007647058823529412,1.654987221116602,0.009411764705882352,"[-1.3461276240603204, -1.2118754469590498, -1.2193438906707863]",-1.4011655407184795,0.005588235294117647,1.7573856003096728,0.007941176470588234,"[-1.3523204110521312, -1.5244915562637398, -1.3266846548395677]",0.0014705882352941176,0.14204988682176078
value,32,3867,main_s0,-1.2770878642013823,0.007751937984496124,1.5906279377164407,0.007751937984496124,"[-1.2676379022583957, -1.1817271707354071, -1.3818985196103442]",-1.3469286717440117,0.00516795865633075,1.7586436836677863,0.007751937984496124,"[-1.534207270308828, -1.2540790132929942, -1.2524997316302122]",0.0,0.06984080754262934,-1.3950630627527876,0.00517196793379881,1.6212828220871336,0.006464959917248513,"[-1.343139619754989, -1.4974178242101956, -1.3446317442931788]",-1.45925313944885,0.0067235583139384535,1.7905843353740123,0.008275148694078097,"[-1.4444750866342901, -1.4383238953255666, -1.4949604363866928]",-0.0018101887768295832,0.06419007669606236,-1.1796518479890399,0.006470588235294118,1.6323067485877112,0.007352941176470588,"[-1.225792669865581, -1.1482919537379725, -1.1648709203635659]",-1.3484951038162585,0.007058823529411765,1.7466945944914558,0.01,"[-1.2658773444420102, -1.4923755592433205, -1.2872324077634443]",-0.002647058823529412,0.1688432558272186
value,34,3867,main_s0,-1.1469533392079314,0.011627906976744186,1.5771674175043233,0.011627906976744186,"[-0.975176167717952, -1.2286376497362594, -1.237046200169583]",-1.1731504364848755,0.003875968992248062,1.7086530275832184,0.006459948320413436,"[-1.182062500638311, -1.151592649189038, -1.1857961596272775]",0.00516795865633075,0.02619709727694408,-1.3787047799707681,0.005689164727178691,1.613783567957275,0.006464959917248513,"[-1.2780343371820018, -1.4212935806331712, -1.4367864220971316]",-1.3872611265139774,0.00491336953710887,1.759057870741544,0.0074993535040082755,"[-1.3302137376324592, -1.4565694473264603, -1.375000194583012]",-0.001034393586759762,0.008556346543209248,-1.138428768389513,0.008823529411764706,1.6235183922082697,0.008823529411764706,"[-1.1187285077787616, -1.0740719600508473, -1.2224858373389296]",-1.2969843731319817,0.005294117647058823,1.7184873439499415,0.007941176470588234,"[-1.0758179004317356, -1.671064957047558, -1.1440702619166516]",0.0008823529411764713,0.15855560474246877
value,36,3867,main_s0,-1.1923843863875423,0.00516795865633075,1.5612434190693958,0.00516795865633075,"[-1.263536636756739, -1.1991279311587575, -1.11448859124713]",-1.20601406496504,0.012919896640826873,1.6837912668761998,0.014211886304909561,"[-1.3107818134923601, -1.173145148001793, -1.134115233400967]",-0.009043927648578812,0.01362967857749764,-1.3485606871450393,0.0062063615205585725,1.6015455379225387,0.0069821567106283944,"[-1.311506857666083, -1.4970226046607111, -1.2371525991083239]",-1.4207231438364925,0.005947763123868632,1.758750834423887,0.008016550297388157,"[-1.3241260569089848, -1.4962192619460604, -1.4418241126544316]",-0.001034393586759762,0.07216245669145316,-1.0963083334022754,0.007352941176470588,1.6042048045645887,0.008823529411764706,"[-1.14260110328386, -1.1234410422019807, -1.0228828547209856]",-1.2423945412486022,0.005588235294117647,1.7050100466130558,0.006470588235294118,"[-1.1568300256758803, -1.3819218135881743, -1.1884317844817516]",0.002352941176470588,0.14608620784632675
unit,0,3867,main_s0,0.39099178235531645,0.29457364341085274,0.6881107936270734,0.29457364341085274,"[0.4133458681832828, 0.2958129853888073, 0.4638164934938592]",0.2649057724950918,0.24289405684754523,0.9196653239842918,0.24289405684754523,"[0.27216867664954814, 0.2424556178925531, 0.28009302294317406]",0.05167958656330751,0.12608600986022467,0.2036276449184092,0.06801137832945436,0.904168179354558,0.06801137832945436,"[0.24176965199390532, 0.1352451756607429, 0.23386810710057937]",-0.20121162799304013,0.005689164727178691,1.3579672693616545,0.005689164727178691,"[-0.14979710625798215, -0.19251776920375363, -0.26132000851738457]",0.062322213602275675,0.40483927291144933,0.14428276319775568,0.03264705882352941,1.0194235073848097,0.03264705882352941,"[0.16360305612182813, 0.15866391838522353, 0.11058131508621538]",-0.1335910149074866,0.007352941176470588,1.3177261623575844,0.007352941176470588,"[-0.06743611958155005, -0.11879951230175356, -0.21453741283915617]",0.02529411764705882,0.2778737781052423
