model,condition,lattice_distance,mean,count
qwen3-8b-base,FAM-UNNAMED,8,1.0,140
qwen3-8b-base,INV-BASE,2,0.9041666666666667,720
qwen3-8b-base,INV-BASE,3,0.9375,240
qwen3-8b-base,INV-BASE-TWIN,2,0.9347222222222222,720
qwen3-8b-base,INV-BASE-TWIN,3,0.9083333333333333,240
qwen3-8b-base,INV-LEX,2,0.8963414634146342,164
qwen3-8b-base,INV-LEX,3,0.9758064516129032,372
qwen3-8b-base,INV-LEX,4,0.9104477611940298,268
qwen3-8b-base,INV-LEX,5,0.9807692307692307,52
qwen3-8b-base,INV-LEX,6,1.0,52
qwen3-8b-base,INV-LEX,8,0.9807692307692307,52
qwen3-8b-base,INV-LEX-TWIN,2,0.8170731707317073,164
qwen3-8b-base,INV-LEX-TWIN,3,0.8629032258064516,372
qwen3-8b-base,INV-LEX-TWIN,4,0.9477611940298507,268
qwen3-8b-base,INV-LEX-TWIN,5,1.0,52
qwen3-8b-base,INV-LEX-TWIN,6,0.9807692307692307,52
qwen3-8b-base,INV-LEX-TWIN,8,1.0,52
